# Logfile created on 2018-10-07 00:51:48 +0200 by logger.rb/v1.2.7
OSM_SN: Loading graph from GraphViz file data/near_ucl.dot.
OSM_SN: Processing vertices
OSM_SN: 	 Visual vertex 1131776617 in 
OSM_SN: 	 Vertex 1131776643 loaded
OSM_SN: 	 Visual vertex 1131776643 in 
OSM_SN: 	 Vertex 29538577 loaded
OSM_SN: 	 Visual vertex 29538577 in 
OSM_SN: 	 Vertex 25973309 loaded
OSM_SN: 	 Visual vertex 25973309 in 
OSM_SN: 	 Vertex 5457903246 loaded
OSM_SN: 	 Visual vertex 5457903246 in 
OSM_SN: 	 Vertex 25973236 loaded
OSM_SN: 	 Visual vertex 25973236 in 
OSM_SN: 	 Vertex 354693060 loaded
OSM_SN: 	 Visual vertex 354693060 in 
OSM_SN: 	 Vertex 1035742544 loaded
OSM_SN: 	 Visual vertex 1035742544 in 
OSM_SN: 	 Vertex 5457903247 loaded
OSM_SN: 	 Visual vertex 5457903247 in 
OSM_SN: 	 Vertex 25973244 loaded
OSM_SN: 	 Visual vertex 25973244 in 
OSM_SN: 	 Vertex 25973237 loaded
OSM_SN: 	 Visual vertex 25973237 in 
OSM_SN: 	 Vertex 1131753268 loaded
OSM_SN: 	 Visual vertex 1131753268 in 
OSM_SN: 	 Vertex 25973238 loaded
OSM_SN: 	 Visual vertex 25973238 in 
OSM_SN: 	 Vertex 1131753322 loaded
OSM_SN: 	 Visual vertex 1131753322 in 
OSM_SN: 	 Vertex 1131753552 loaded
OSM_SN: 	 Visual vertex 1131753552 in 
OSM_SN: 	 Vertex 1131753614 loaded
OSM_SN: 	 Visual vertex 1131753614 in 
OSM_SN: 	 Vertex 1131753273 loaded
OSM_SN: 	 Visual vertex 1131753273 in 
OSM_SN: 	 Vertex 29538575 loaded
OSM_SN: 	 Visual vertex 29538575 in 
OSM_SN: 	 Vertex 25973239 loaded
OSM_SN: 	 Visual vertex 25973239 in 
OSM_SN: 	 Vertex 1131753393 loaded
OSM_SN: 	 Visual vertex 1131753393 in 
OSM_SN: 	 Vertex 1131753419 loaded
OSM_SN: 	 Visual vertex 1131753419 in 
OSM_SN: 	 Vertex 25973240 loaded
OSM_SN: 	 Visual vertex 25973240 in 
OSM_SN: 	 Vertex 25973242 loaded
OSM_SN: 	 Visual vertex 25973242 in 
OSM_SN: 	 Vertex 25973310 loaded
OSM_SN: 	 Visual vertex 25973310 in 
OSM_SN: 	 Vertex 1131753507 loaded
OSM_SN: 	 Visual vertex 1131753507 in 
OSM_SN: 	 Vertex 1131753563 loaded
OSM_SN: 	 Visual vertex 1131753563 in 
OSM_SN: 	 Vertex 1131753673 loaded
OSM_SN: 	 Visual vertex 1131753673 in 
OSM_SN: 	 Vertex 1131776583 loaded
OSM_SN: 	 Visual vertex 1131776583 in 
OSM_SN: 	 Vertex 25973243 loaded
OSM_SN: 	 Visual vertex 25973243 in 
OSM_SN: 	 Vertex 369827748 loaded
OSM_SN: 	 Visual vertex 369827748 in 
OSM_SN: 	 Vertex 2145830414 loaded
OSM_SN: 	 Visual vertex 2145830414 in 
OSM_SN: 	 Vertex 25973266 loaded
OSM_SN: 	 Visual vertex 25973266 in 
OSM_SN: 	 Vertex 1035742754 loaded
OSM_SN: 	 Visual vertex 1035742754 in 
OSM_SN: 	 Vertex 25973245 loaded
OSM_SN: 	 Visual vertex 25973245 in 
OSM_SN: 	 Vertex 1035743149 loaded
OSM_SN: 	 Visual vertex 1035743149 in 
OSM_SN: 	 Vertex 25973246 loaded
OSM_SN: 	 Visual vertex 25973246 in 
OSM_SN: 	 Vertex 1035742535 loaded
OSM_SN: 	 Visual vertex 1035742535 in 
OSM_SN: 	 Vertex 1035742919 loaded
OSM_SN: 	 Visual vertex 1035742919 in 
OSM_SN: 	 Vertex 369827744 loaded
OSM_SN: 	 Visual vertex 369827744 in 
OSM_SN: 	 Vertex 2145830413 loaded
OSM_SN: 	 Visual vertex 2145830413 in 
OSM_SN: 	 Vertex 25973247 loaded
OSM_SN: 	 Visual vertex 25973247 in 
OSM_SN: 	 Vertex 357625479 loaded
OSM_SN: 	 Visual vertex 357625479 in 
OSM_SN: 	 Vertex 1035742692 loaded
OSM_SN: 	 Visual vertex 1035742692 in 
OSM_SN: 	 Vertex 1035743157 loaded
OSM_SN: 	 Visual vertex 1035743157 in 
OSM_SN: 	 Vertex 25973251 loaded
OSM_SN: 	 Visual vertex 25973251 in 
OSM_SN: 	 Vertex 1131753238 loaded
OSM_SN: 	 Visual vertex 1131753238 in 
OSM_SN: 	 Vertex 1131753399 loaded
OSM_SN: 	 Visual vertex 1131753399 in 
OSM_SN: 	 Vertex 25973264 loaded
OSM_SN: 	 Visual vertex 25973264 in 
OSM_SN: 	 Vertex 357625477 loaded
OSM_SN: 	 Visual vertex 357625477 in 
OSM_SN: 	 Vertex 1131753296 loaded
OSM_SN: 	 Visual vertex 1131753296 in 
OSM_SN: 	 Vertex 1131753517 loaded
OSM_SN: 	 Visual vertex 1131753517 in 
OSM_SN: 	 Vertex 1131753299 loaded
OSM_SN: 	 Visual vertex 1131753299 in 
OSM_SN: 	 Vertex 25973265 loaded
OSM_SN: 	 Visual vertex 25973265 in 
OSM_SN: 	 Vertex 1131753455 loaded
OSM_SN: 	 Visual vertex 1131753455 in 
OSM_SN: 	 Vertex 352906038 loaded
OSM_SN: 	 Visual vertex 352906038 in 
OSM_SN: 	 Vertex 1131753265 loaded
OSM_SN: 	 Visual vertex 1131753265 in 
OSM_SN: 	 Vertex 25973267 loaded
OSM_SN: 	 Visual vertex 25973267 in 
OSM_SN: 	 Vertex 794660622 loaded
OSM_SN: 	 Visual vertex 794660622 in 
OSM_SN: 	 Vertex 25973268 loaded
OSM_SN: 	 Visual vertex 25973268 in 
OSM_SN: 	 Vertex 794660618 loaded
OSM_SN: 	 Visual vertex 794660618 in 
OSM_SN: 	 Vertex 1131753366 loaded
OSM_SN: 	 Visual vertex 1131753366 in 
OSM_SN: 	 Vertex 29381091 loaded
OSM_SN: 	 Visual vertex 29381091 in 
OSM_SN: 	 Vertex 29381092 loaded
OSM_SN: 	 Visual vertex 29381092 in 
OSM_SN: 	 Vertex 1871005915 loaded
OSM_SN: 	 Visual vertex 1871005915 in 
OSM_SN: 	 Vertex 307270333 loaded
OSM_SN: 	 Visual vertex 307270333 in 
OSM_SN: 	 Vertex 426146754 loaded
OSM_SN: 	 Visual vertex 426146754 in 
OSM_SN: 	 Vertex 1131776592 loaded
OSM_SN: 	 Visual vertex 1131776592 in 
OSM_SN: 	 Vertex 426146749 loaded
OSM_SN: 	 Visual vertex 426146749 in 
OSM_SN: 	 Vertex 31625039 loaded
OSM_SN: 	 Visual vertex 31625039 in 
OSM_SN: 	 Vertex 31624838 loaded
OSM_SN: 	 Visual vertex 31624838 in 
OSM_SN: 	 Vertex 335791414 loaded
OSM_SN: 	 Visual vertex 335791414 in 
OSM_SN: 	 Vertex 31624839 loaded
OSM_SN: 	 Visual vertex 31624839 in 
OSM_SN: 	 Vertex 301162210 loaded
OSM_SN: 	 Visual vertex 301162210 in 
OSM_SN: 	 Vertex 1035742611 loaded
OSM_SN: 	 Visual vertex 1035742611 in 
OSM_SN: 	 Vertex 31624840 loaded
OSM_SN: 	 Visual vertex 31624840 in 
OSM_SN: 	 Vertex 31624842 loaded
OSM_SN: 	 Visual vertex 31624842 in 
OSM_SN: 	 Vertex 31624844 loaded
OSM_SN: 	 Visual vertex 31624844 in 
OSM_SN: 	 Vertex 31624845 loaded
OSM_SN: 	 Visual vertex 31624845 in 
OSM_SN: 	 Vertex 305839054 loaded
OSM_SN: 	 Visual vertex 305839054 in 
OSM_SN: 	 Vertex 1817559258 loaded
OSM_SN: 	 Visual vertex 1817559258 in 
OSM_SN: 	 Vertex 109819819 loaded
OSM_SN: 	 Visual vertex 109819819 in 
OSM_SN: 	 Vertex 467964167 loaded
OSM_SN: 	 Visual vertex 467964167 in 
OSM_SN: 	 Vertex 1131753461 loaded
OSM_SN: 	 Visual vertex 1131753461 in 
OSM_SN: 	 Vertex 2183588480 loaded
OSM_SN: 	 Visual vertex 2183588480 in 
OSM_SN: 	 Vertex 170345849 loaded
OSM_SN: 	 Visual vertex 170345849 in 
OSM_SN: 	 Vertex 1131753305 loaded
OSM_SN: 	 Visual vertex 1131753305 in 
OSM_SN: 	 Vertex 307159452 loaded
OSM_SN: 	 Visual vertex 307159452 in 
OSM_SN: 	 Vertex 357631188 loaded
OSM_SN: 	 Visual vertex 357631188 in 
OSM_SN: 	 Vertex 307159454 loaded
OSM_SN: 	 Visual vertex 307159454 in 
OSM_SN: 	 Vertex 1131736546 loaded
OSM_SN: 	 Visual vertex 1131736546 in 
OSM_SN: 	 Vertex 170353802 loaded
OSM_SN: 	 Visual vertex 170353802 in 
OSM_SN: 	 Vertex 170353803 loaded
OSM_SN: 	 Visual vertex 170353803 in 
OSM_SN: 	 Vertex 170353804 loaded
OSM_SN: 	 Visual vertex 170353804 in 
OSM_SN: 	 Vertex 170353805 loaded
OSM_SN: 	 Visual vertex 170353805 in 
OSM_SN: 	 Vertex 170353806 loaded
OSM_SN: 	 Visual vertex 170353806 in 
OSM_SN: 	 Vertex 307211303 loaded
OSM_SN: 	 Visual vertex 307211303 in 
OSM_SN: 	 Vertex 3509790192 loaded
OSM_SN: 	 Visual vertex 3509790192 in 
OSM_SN: 	 Vertex 1229196584 loaded
OSM_SN: 	 Visual vertex 1229196584 in 
OSM_SN: 	 Vertex 794536575 loaded
OSM_SN: 	 Visual vertex 794536575 in 
OSM_SN: 	 Vertex 1035742764 loaded
OSM_SN: 	 Visual vertex 1035742764 in 
OSM_SN: 	 Vertex 307270336 loaded
OSM_SN: 	 Visual vertex 307270336 in 
OSM_SN: 	 Vertex 352906037 loaded
OSM_SN: 	 Visual vertex 352906037 in 
OSM_SN: 	 Vertex 4785352243 loaded
OSM_SN: 	 Visual vertex 4785352243 in 
OSM_SN: 	 Vertex 603700526 loaded
OSM_SN: 	 Visual vertex 603700526 in 
OSM_SN: 	 Vertex 352906043 loaded
OSM_SN: 	 Visual vertex 352906043 in 
OSM_SN: 	 Vertex 352906042 loaded
OSM_SN: 	 Visual vertex 352906042 in 
OSM_SN: 	 Vertex 794638467 loaded
OSM_SN: 	 Visual vertex 794638467 in 
OSM_SN: 	 Vertex 3089707612 loaded
OSM_SN: 	 Visual vertex 3089707612 in 
OSM_SN: 	 Vertex 369827740 loaded
OSM_SN: 	 Visual vertex 369827740 in 
OSM_SN: 	 Vertex 1035743374 loaded
OSM_SN: 	 Visual vertex 1035743374 in 
OSM_SN: 	 Vertex 2145830412 loaded
OSM_SN: 	 Visual vertex 2145830412 in 
OSM_SN: 	 Vertex 1676873899 loaded
OSM_SN: 	 Visual vertex 1676873899 in 
OSM_SN: 	 Vertex 603696837 loaded
OSM_SN: 	 Visual vertex 603696837 in 
OSM_SN: 	 Vertex 794536580 loaded
OSM_SN: 	 Visual vertex 794536580 in 
OSM_SN: 	 Vertex 794536590 loaded
OSM_SN: 	 Visual vertex 794536590 in 
OSM_SN: 	 Vertex 794638622 loaded
OSM_SN: 	 Visual vertex 794638622 in 
OSM_SN: 	 Vertex 1676873904 loaded
OSM_SN: 	 Visual vertex 1676873904 in 
OSM_SN: 	 Vertex 1258717868 loaded
OSM_SN: 	 Visual vertex 1258717868 in 
OSM_SN: 	 Vertex 1258717867 loaded
OSM_SN: 	 Visual vertex 1258717867 in 
OSM_SN: Loading graph from GraphViz file data/near_ucl.dot.
OSM_SN: Processing vertices
OSM_SN: 	 Vertex 21311324 loaded
OSM_SN: 	 Visual vertex 21311324 in 
OSM_SN: 	 Vertex 603696835 loaded
OSM_SN: 	 Visual vertex 603696835 in 
OSM_SN: 	 Vertex 1676873898 loaded
OSM_SN: 	 Visual vertex 1676873898 in 
OSM_SN: 	 Vertex 21311325 loaded
OSM_SN: 	 Visual vertex 21311325 in 
OSM_SN: 	 Vertex 352906041 loaded
OSM_SN: 	 Visual vertex 352906041 in 
OSM_SN: 	 Vertex 352906040 loaded
OSM_SN: 	 Visual vertex 352906040 in 
OSM_SN: 	 Vertex 21311326 loaded
OSM_SN: 	 Visual vertex 21311326 in 
OSM_SN: 	 Vertex 352906039 loaded
OSM_SN: 	 Visual vertex 352906039 in 
OSM_SN: 	 Vertex 21311327 loaded
OSM_SN: 	 Visual vertex 21311327 in 
OSM_SN: 	 Vertex 1131753357 loaded
OSM_SN: 	 Visual vertex 1131753357 in 
OSM_SN: 	 Vertex 21311328 loaded
OSM_SN: 	 Visual vertex 21311328 in 
OSM_SN: 	 Vertex 1131753324 loaded
OSM_SN: 	 Visual vertex 1131753324 in 
OSM_SN: 	 Vertex 1131753468 loaded
OSM_SN: 	 Visual vertex 1131753468 in 
OSM_SN: 	 Vertex 1131753270 loaded
OSM_SN: 	 Visual vertex 1131753270 in 
OSM_SN: 	 Vertex 1676873900 loaded
OSM_SN: 	 Visual vertex 1676873900 in 
OSM_SN: 	 Vertex 21311329 loaded
OSM_SN: 	 Visual vertex 21311329 in 
OSM_SN: 	 Vertex 21311332 loaded
OSM_SN: 	 Visual vertex 21311332 in 
OSM_SN: 	 Vertex 1131753606 loaded
OSM_SN: 	 Visual vertex 1131753606 in 
OSM_SN: 	 Vertex 304321909 loaded
OSM_SN: 	 Visual vertex 304321909 in 
OSM_SN: 	 Vertex 25973241 loaded
OSM_SN: 	 Visual vertex 25973241 in 
OSM_SN: 	 Vertex 25973089 loaded
OSM_SN: 	 Visual vertex 25973089 in 
OSM_SN: 	 Vertex 21311874 loaded
OSM_SN: 	 Visual vertex 21311874 in 
OSM_SN: 	 Vertex 170345398 loaded
OSM_SN: 	 Visual vertex 170345398 in 
OSM_SN: 	 Vertex 307159450 loaded
OSM_SN: 	 Visual vertex 307159450 in 
OSM_SN: 	 Vertex 21311876 loaded
OSM_SN: 	 Visual vertex 21311876 in 
OSM_SN: 	 Vertex 307159457 loaded
OSM_SN: 	 Visual vertex 307159457 in 
OSM_SN: 	 Vertex 170353801 loaded
OSM_SN: 	 Visual vertex 170353801 in 
OSM_SN: 	 Vertex 21311886 loaded
OSM_SN: 	 Visual vertex 21311886 in 
OSM_SN: 	 Vertex 2902656702 loaded
OSM_SN: 	 Visual vertex 2902656702 in 
OSM_SN: 	 Vertex 1131736499 loaded
OSM_SN: 	 Visual vertex 1131736499 in 
OSM_SN: 	 Vertex 21311887 loaded
OSM_SN: 	 Visual vertex 21311887 in 
OSM_SN: 	 Vertex 21673405 loaded
OSM_SN: 	 Visual vertex 21673405 in 
OSM_SN: 	 Vertex 392032694 loaded
OSM_SN: 	 Visual vertex 392032694 in 
OSM_SN: 	 Vertex 1131753332 loaded
OSM_SN: 	 Visual vertex 1131753332 in 
OSM_SN: 	 Vertex 21673408 loaded
OSM_SN: 	 Visual vertex 21673408 in 
OSM_SN: 	 Vertex 29382252 loaded
OSM_SN: 	 Visual vertex 29382252 in 
OSM_SN: 	 Vertex 21673409 loaded
OSM_SN: 	 Visual vertex 21673409 in 
OSM_SN: 	 Vertex 794638589 loaded
OSM_SN: 	 Visual vertex 794638589 in 
OSM_SN: 	 Vertex 1035742924 loaded
OSM_SN: 	 Visual vertex 1035742924 in 
OSM_SN: 	 Vertex 794536596 loaded
OSM_SN: 	 Visual vertex 794536596 in 
OSM_SN: 	 Vertex 25973235 loaded
OSM_SN: 	 Visual vertex 25973235 in 
OSM_SN: 	 Vertex 21673419 loaded
OSM_SN: 	 Visual vertex 21673419 in 
OSM_SN: 	 Vertex 344481243 loaded
OSM_SN: 	 Visual vertex 344481243 in 
OSM_SN: 	 Vertex 1131776617 loaded
OSM_SN: 	 Visual vertex 1131776617 in 
OSM_SN: 	 Vertex 1131776643 loaded
OSM_SN: 	 Visual vertex 1131776643 in 
OSM_SN: 	 Vertex 29538577 loaded
OSM_SN: 	 Visual vertex 29538577 in 
OSM_SN: 	 Vertex 25973309 loaded
OSM_SN: 	 Visual vertex 25973309 in 
OSM_SN: 	 Vertex 5457903246 loaded
OSM_SN: 	 Visual vertex 5457903246 in 
OSM_SN: 	 Vertex 25973236 loaded
OSM_SN: 	 Visual vertex 25973236 in 
OSM_SN: 	 Vertex 354693060 loaded
OSM_SN: 	 Visual vertex 354693060 in 
OSM_SN: 	 Vertex 1035742544 loaded
OSM_SN: 	 Visual vertex 1035742544 in 
OSM_SN: 	 Vertex 5457903247 loaded
OSM_SN: 	 Visual vertex 5457903247 in 
OSM_SN: 	 Vertex 25973244 loaded
OSM_SN: 	 Visual vertex 25973244 in 
OSM_SN: 	 Vertex 25973237 loaded
OSM_SN: 	 Visual vertex 25973237 in 
OSM_SN: 	 Vertex 1131753268 loaded
OSM_SN: 	 Visual vertex 1131753268 in 
OSM_SN: 	 Vertex 25973238 loaded
OSM_SN: 	 Visual vertex 25973238 in 
OSM_SN: 	 Vertex 1131753322 loaded
OSM_SN: 	 Visual vertex 1131753322 in 
OSM_SN: 	 Vertex 1131753552 loaded
OSM_SN: 	 Visual vertex 1131753552 in 
OSM_SN: 	 Vertex 1131753614 loaded
OSM_SN: 	 Visual vertex 1131753614 in 
OSM_SN: 	 Vertex 1131753273 loaded
OSM_SN: 	 Visual vertex 1131753273 in 
OSM_SN: 	 Vertex 29538575 loaded
OSM_SN: 	 Visual vertex 29538575 in 
OSM_SN: 	 Vertex 25973239 loaded
OSM_SN: 	 Visual vertex 25973239 in 
OSM_SN: 	 Vertex 1131753393 loaded
OSM_SN: 	 Visual vertex 1131753393 in 
OSM_SN: 	 Vertex 1131753419 loaded
OSM_SN: 	 Visual vertex 1131753419 in 
OSM_SN: 	 Vertex 25973240 loaded
OSM_SN: 	 Visual vertex 25973240 in 
OSM_SN: 	 Vertex 25973242 loaded
OSM_SN: 	 Visual vertex 25973242 in 
OSM_SN: 	 Vertex 25973310 loaded
OSM_SN: 	 Visual vertex 25973310 in 
OSM_SN: 	 Vertex 1131753507 loaded
OSM_SN: 	 Visual vertex 1131753507 in 
OSM_SN: 	 Vertex 1131753563 loaded
OSM_SN: 	 Visual vertex 1131753563 in 
OSM_SN: 	 Vertex 1131753673 loaded
OSM_SN: 	 Visual vertex 1131753673 in 
OSM_SN: 	 Vertex 1131776583 loaded
OSM_SN: 	 Visual vertex 1131776583 in 
OSM_SN: 	 Vertex 25973243 loaded
OSM_SN: 	 Visual vertex 25973243 in 
OSM_SN: 	 Vertex 369827748 loaded
OSM_SN: 	 Visual vertex 369827748 in 
OSM_SN: 	 Vertex 2145830414 loaded
OSM_SN: 	 Visual vertex 2145830414 in 
OSM_SN: 	 Vertex 25973266 loaded
OSM_SN: 	 Visual vertex 25973266 in 
OSM_SN: 	 Vertex 1035742754 loaded
OSM_SN: 	 Visual vertex 1035742754 in 
OSM_SN: 	 Vertex 25973245 loaded
OSM_SN: 	 Visual vertex 25973245 in 
OSM_SN: 	 Vertex 1035743149 loaded
OSM_SN: 	 Visual vertex 1035743149 in 
OSM_SN: 	 Vertex 25973246 loaded
OSM_SN: 	 Visual vertex 25973246 in 
OSM_SN: 	 Vertex 1035742535 loaded
OSM_SN: 	 Visual vertex 1035742535 in 
OSM_SN: 	 Vertex 1035742919 loaded
OSM_SN: 	 Visual vertex 1035742919 in 
OSM_SN: 	 Vertex 369827744 loaded
OSM_SN: 	 Visual vertex 369827744 in 
OSM_SN: 	 Vertex 2145830413 loaded
OSM_SN: 	 Visual vertex 2145830413 in 
OSM_SN: 	 Vertex 25973247 loaded
OSM_SN: 	 Visual vertex 25973247 in 
OSM_SN: 	 Vertex 357625479 loaded
OSM_SN: 	 Visual vertex 357625479 in 
OSM_SN: 	 Vertex 1035742692 loaded
OSM_SN: 	 Visual vertex 1035742692 in 
OSM_SN: 	 Vertex 1035743157 loaded
OSM_SN: 	 Visual vertex 1035743157 in 
OSM_SN: 	 Vertex 25973251 loaded
OSM_SN: 	 Visual vertex 25973251 in 
OSM_SN: 	 Vertex 1131753238 loaded
OSM_SN: 	 Visual vertex 1131753238 in 
OSM_SN: 	 Vertex 1131753399 loaded
OSM_SN: 	 Visual vertex 1131753399 in 
OSM_SN: 	 Vertex 25973264 loaded
OSM_SN: 	 Visual vertex 25973264 in 
OSM_SN: 	 Vertex 357625477 loaded
OSM_SN: 	 Visual vertex 357625477 in 
OSM_SN: 	 Vertex 1131753296 loaded
OSM_SN: 	 Visual vertex 1131753296 in 
OSM_SN: 	 Vertex 1131753517 loaded
OSM_SN: 	 Visual vertex 1131753517 in 
OSM_SN: 	 Vertex 1131753299 loaded
OSM_SN: 	 Visual vertex 1131753299 in 
OSM_SN: 	 Vertex 25973265 loaded
OSM_SN: 	 Visual vertex 25973265 in 
OSM_SN: 	 Vertex 1131753455 loaded
OSM_SN: 	 Visual vertex 1131753455 in 
OSM_SN: 	 Vertex 352906038 loaded
OSM_SN: 	 Visual vertex 352906038 in 
OSM_SN: 	 Vertex 1131753265 loaded
OSM_SN: 	 Visual vertex 1131753265 in 
OSM_SN: 	 Vertex 25973267 loaded
OSM_SN: 	 Visual vertex 25973267 in 
OSM_SN: 	 Vertex 794660622 loaded
OSM_SN: 	 Visual vertex 794660622 in 
OSM_SN: 	 Vertex 25973268 loaded
OSM_SN: 	 Visual vertex 25973268 in 
OSM_SN: 	 Vertex 794660618 loaded
OSM_SN: 	 Visual vertex 794660618 in 
OSM_SN: 	 Vertex 1131753366 loaded
OSM_SN: 	 Visual vertex 1131753366 in 
OSM_SN: 	 Vertex 29381091 loaded
OSM_SN: 	 Visual vertex 29381091 in 
OSM_SN: 	 Vertex 29381092 loaded
OSM_SN: 	 Visual vertex 29381092 in 
OSM_SN: 	 Vertex 1871005915 loaded
OSM_SN: 	 Visual vertex 1871005915 in 
OSM_SN: 	 Vertex 307270333 loaded
OSM_SN: 	 Visual vertex 307270333 in 
OSM_SN: 	 Vertex 426146754 loaded
OSM_SN: 	 Visual vertex 426146754 in 
OSM_SN: 	 Vertex 1131776592 loaded
OSM_SN: 	 Visual vertex 1131776592 in 
OSM_SN: 	 Vertex 426146749 loaded
OSM_SN: 	 Visual vertex 426146749 in 
OSM_SN: 	 Vertex 31625039 loaded
OSM_SN: 	 Visual vertex 31625039 in 
OSM_SN: 	 Vertex 31624838 loaded
OSM_SN: 	 Visual vertex 31624838 in 
OSM_SN: 	 Vertex 335791414 loaded
OSM_SN: 	 Visual vertex 335791414 in 
OSM_SN: 	 Vertex 31624839 loaded
OSM_SN: 	 Visual vertex 31624839 in 
OSM_SN: 	 Vertex 301162210 loaded
OSM_SN: 	 Visual vertex 301162210 in 
OSM_SN: 	 Vertex 1035742611 loaded
OSM_SN: 	 Visual vertex 1035742611 in 
OSM_SN: 	 Vertex 31624840 loaded
OSM_SN: 	 Visual vertex 31624840 in 
OSM_SN: 	 Vertex 31624842 loaded
OSM_SN: 	 Visual vertex 31624842 in 
OSM_SN: 	 Vertex 31624844 loaded
OSM_SN: 	 Visual vertex 31624844 in 
OSM_SN: 	 Vertex 31624845 loaded
OSM_SN: 	 Visual vertex 31624845 in 
OSM_SN: 	 Vertex 305839054 loaded
OSM_SN: 	 Visual vertex 305839054 in 
OSM_SN: 	 Vertex 1817559258 loaded
OSM_SN: 	 Visual vertex 1817559258 in 
OSM_SN: 	 Vertex 109819819 loaded
OSM_SN: 	 Visual vertex 109819819 in 
OSM_SN: 	 Vertex 467964167 loaded
OSM_SN: 	 Visual vertex 467964167 in 
OSM_SN: 	 Vertex 1131753461 loaded
OSM_SN: 	 Visual vertex 1131753461 in 
OSM_SN: 	 Vertex 2183588480 loaded
